seed,n_folds,candidate,n_systems,cv_eer,cv_eer_se,threshold,headroom,in_1se_band,is_best,selected
52,10,ours+2GMM,3,26.68908257747544,0.6715159913123472,26.48883074353209,-0.2002518339433479,False,False,False
52,10,ours,1,29.074680335097003,0.7549552774954361,26.48883074353209,-2.5858495915649122,False,False,False
53,10,ours+all,6,26.313932980599645,0.5466495711410447,26.86058255174069,0.546649571141046,True,True,False
53,10,ours+4base,5,26.64688051146384,0.5879453950960634,26.86058255174069,0.21370204027684991,True,False,True
53,10,ours+2GMM,3,26.863150352733687,0.5928305299903723,26.86058255174069,-0.0025678009929954726,False,False,False
53,10,ours,1,29.1725639329806,0.580542335307675,26.86058255174069,-2.31198138123991,False,False,False
54,10,ours+all,6,26.414186507936506,0.791182431186906,27.205368939123414,0.7911824311869076,True,True,False
54,10,ours+4base,5,26.8015873015873,0.7188224689335201,27.205368939123414,0.4037816375361132,True,False,False
54,10,ours+2GMM,3,27.003306878306876,0.7471967861901428,27.205368939123414,0.20206206081653733,True,False,True
54,10,ours,1,29.10207231040564,0.7418912483796722,27.205368939123414,-1.896703371282225,False,False,False
55,10,ours+all,6,26.472111992945326,0.6952019741948893,27.167313967140217,0.6952019741948909,True,True,False
55,10,ours+4base,5,26.719576719576718,0.8067665639994542,27.167313967140217,0.44773724756349864,True,False,False
55,10,ours+2GMM,3,26.92713844797178,0.7985657164225392,27.167313967140217,0.24017551916843516,True,False,True
55,10,ours,1,28.996252204585538,0.9832258197796018,27.167313967140217,-1.8289382374453211,False,False,False
56,10,ours+all,6,26.45210537918871,0.7153570571237082,27.167462436312416,0.7153570571237076,True,True,False
56,10,ours+4base,5,26.683862433862437,0.7367071408329907,27.167462436312416,0.4836000024499789,True,False,False
56,10,ours+2GMM,3,26.869212962962962,0.7000295798574877,27.167462436312416,0.29824947334945406,True,False,True
56,10,ours,1,29.352017195767196,0.6876750717203512,27.167462436312416,-2.1845547594547803,False,False,False
57,10,ours+all,6,25.94982205845301,0.6200453570302412,26.56986741548325,0.6200453570302429,True,True,False
57,10,ours+4base,5,26.435098576467624,0.6200107981248167,26.56986741548325,0.13476883901562786,True,False,True
57,10,ours+2GMM,3,26.700963718820862,0.643397637395487,26.56986741548325,-0.13109630333761046,False,False,False
57,10,ours,1,29.38070042831948,0.7900566199878585,26.56986741548325,-2.810833012836227,False,False,False
58,10,ours+all,6,26.001944759385236,1.0538112914607825,27.055756050846018,1.0538112914607822,True,True,False
58,10,ours+4base,5,26.50536974048879,1.069372782368183,27.055756050846018,0.5503863103572293,True,False,False
58,10,ours+2GMM,3,26.775722789115644,1.0601040959850974,27.055756050846018,0.2800332617303738,True,False,True
58,10,ours,1,28.969734189972286,1.241433638944788,27.055756050846018,-1.913978139126268,False,False,False
59,10,ours+all,6,26.04998897707231,0.7177383482008586,26.767727325273167,0.7177383482008572,True,True,False
59,10,ours+4base,5,26.330798059964728,0.6357880724075163,26.767727325273167,0.43692926530843934,True,False,False
59,10,ours+2GMM,3,26.712522045855376,0.5990395310919181,26.767727325273167,0.055205279417791076,True,False,True
59,10,ours,1,28.992945326278665,0.7944707820633072,26.767727325273167,-2.225218001005498,False,False,False
60,10,ours+all,6,26.570625472411187,0.5957379922073163,27.166363464618502,0.5957379922073152,True,True,False
60,10,ours+4base,5,26.974883471907276,0.5607022709859679,27.166363464618502,0.1914799927112263,True,False,True
60,10,ours+2GMM,3,27.28421044343663,0.5551202602341785,27.166363464618502,-0.11784697881812889,False,False,False
60,10,ours,1,29.55265022675737,0.799136083802207,27.166363464618502,-2.386286762138866,False,False,False
61,10,ours+all,6,25.998511904761905,0.9318743273460472,26.930386232107953,0.9318743273460477,True,True,False
61,10,ours+4base,5,26.38470017636684,0.9158937070957965,26.930386232107953,0.5456860557411112,True,False,False
61,10,ours+2GMM,3,26.561618165784836,0.9106771208583327,26.930386232107953,0.368768066323117,True,False,True
61,10,ours,1,28.957341269841272,1.1174458257558217,26.930386232107953,-2.0269550377333196,False,False,False
