candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+all,5,43,2,LFCC-GMM,0.30541298034572756,0.14158991056226566,-2.1843716922674745
ours+all,5,43,2,LFCC-LCNN,0.0875830523229331,0.040603632927246704,-2.1843716922674745
ours+all,5,43,2,RawNet2,-0.11056765117282673,-0.05125932703619396,-2.1843716922674745
ours+all,5,43,3,timepool_T150_aug,0.7932750833329243,0.3937439125111586,-2.173994182081371
ours+all,5,43,3,flatten_T400_aug,0.3924712090531713,0.1948039874784842,-2.173994182081371
ours+all,5,43,3,CQCC-GMM,0.39162646525213973,0.19438469694954152,-2.173994182081371
ours+all,5,43,3,LFCC-GMM,0.30334415458619085,0.1505655689604328,-2.173994182081371
ours+all,5,43,3,LFCC-LCNN,0.05598518187025571,0.02778837381306207,-2.173994182081371
ours+all,5,43,3,RawNet2,-0.07799593202513326,-0.0387134602873209,-2.173994182081371
ours+all,5,43,4,timepool_T150_aug,0.7305923553132575,0.3834689037782251,-2.1612432083651827
ours+all,5,43,4,flatten_T400_aug,0.4227354678418127,0.22188283967462072,-2.1612432083651827
ours+all,5,43,4,CQCC-GMM,0.4180794629235828,0.21943902392840461,-2.1612432083651827
ours+all,5,43,4,LFCC-GMM,0.25959338417960653,0.1362538079347283,-2.1612432083651827
ours+all,5,43,4,LFCC-LCNN,0.04600777777706517,0.024148284581870193,-2.1612432083651827
ours+all,5,43,4,RawNet2,-0.028210849057373397,-0.014807140102151088,-2.1612432083651827
ours,5,44,0,timepool_T150_aug,1.161952018737793,1.0,-2.0480706691741943
ours,5,44,1,timepool_T150_aug,1.1198194026947021,1.0,-2.051011085510254
ours,5,44,2,timepool_T150_aug,1.2467869520187378,1.0,-1.9784027338027954
ours,5,44,3,timepool_T150_aug,1.1795530319213867,1.0,-1.9716460704803467
ours,5,44,4,timepool_T150_aug,1.1423919200897217,1.0,-2.0436813831329346
